key,name_key,name,position,consensus_adp,n_sources,ESPN,Sleeper,consensus_rank
jahmyrgibbs,jahmyrgibbs,Jahmyr Gibbs,RB,1.42,2,1.83,1.0,1.0
bijanrobinson,bijanrobinson,Bijan Robinson,RB,2.31,2,2.63,2.0,2.0
pukanacua,pukanacua,Puka Nacua,WR,3.34,2,3.68,3.0,3.0
jamarrchase,jamarrchase,Ja'Marr Chase,WR,4.31,2,4.62,4.0,4.0
jaxonsmithnjigba,jaxonsmithnjigba,Jaxon Smith-Njigba,WR,5.38,2,5.76,5.0,5.0
christianmccaffrey,christianmccaffrey,Christian McCaffrey,RB,6.23,2,6.46,6.0,6.0
jonathantaylor,jonathantaylor,Jonathan Taylor,RB,7.59,2,8.18,7.0,7.0
amonrastbrown,amonrastbrown,Amon-Ra St. Brown,WR,8.12,2,8.24,8.0,8.0
ceedeelamb,ceedeelamb,CeeDee Lamb,WR,9.8,2,10.61,9.0,9.0
justinjefferson,justinjefferson,Justin Jefferson,WR,11.02,2,12.04,10.0,10.0
devonachane,devonachane,De'Von Achane,RB,11.64,2,12.29,11.0,11.0
jamescook,jamescook,James Cook III,RB,12.59,2,13.17,12.0,12.0
saquonbarkley,saquonbarkley,Saquon Barkley,RB,15.01,2,17.02,13.0,13.0
ashtonjeanty,ashtonjeanty,Ashton Jeanty,RB,15.78,2,17.56,14.0,14.0
treymcbride,treymcbride,Trey McBride,TE,17.05,2,19.09,15.0,15.0
jeremiyahlove,jeremiyahlove,Jeremiyah Love,RB,17.69,2,19.37,16.0,16.0
drakelondon,drakelondon,Drake London,WR,18.09,2,19.18,17.0,17.0
derrickhenry,derrickhenry,Derrick Henry,RB,19.45,2,20.9,18.0,18.0
omarionhampton,omarionhampton,Omarion Hampton,RB,20.34,2,21.67,19.0,19.0
rasheerice,rasheerice,Rashee Rice,WR,21.29,2,22.58,20.0,20.0
joshallen,joshallen,Josh Allen,QB,21.77,2,22.54,21.0,21.0
brockbowers,brockbowers,Brock Bowers,TE,22.74,2,23.48,22.0,22.0
kennethwalkeriii,kennethwalkeriii,Kenneth Walker III,RB,23.99,2,24.98,23.0,23.0
chasebrown,chasebrown,Chase Brown,RB,25.11,2,26.21,24.0,24.0
ajbrown,ajbrown,A.J. Brown,WR,25.96,2,26.93,25.0,25.0
joshjacobs,joshjacobs,Josh Jacobs,RB,27.06,2,28.13,26.0,26.0
nicocollins,nicocollins,Nico Collins,WR,27.34,2,27.68,27.0,27.0
georgepickens,georgepickens,George Pickens,WR,28.08,2,28.16,28.0,28.0
chrisolave,chrisolave,Chris Olave,WR,32.08,2,35.16,29.0,29.0
garrettwilson,garrettwilson,Garrett Wilson,WR,32.9,2,35.8,30.0,30.0
breecehall,breecehall,Breece Hall,RB,34.19,2,37.37,31.0,31.0
javontewilliams,javontewilliams,Javonte Williams,RB,35.25,2,38.51,32.0,32.0
devontasmith,devontasmith,DeVonta Smith,WR,35.88,2,38.76,33.0,33.0
maliknabers,maliknabers,Malik Nabers,WR,36.19,2,38.38,34.0,34.0
lamarjackson,lamarjackson,Lamar Jackson,QB,37.41,2,39.83,35.0,35.0
tetairoamcmillan,tetairoamcmillan,Tetairoa McMillan,WR,38.36,2,40.72,36.0,36.0
cameronskattebo,cameronskattebo,Cameron Skattebo,RB,39.0,1,,39.0,37.0
kyrenwilliams,kyrenwilliams,Kyren Williams,RB,39.35,2,41.7,37.0,38.0
emekaegbuka,emekaegbuka,Emeka Egbuka,WR,40.82,2,43.64,38.0,39.0
zayflowers,zayflowers,Zay Flowers,WR,41.72,2,43.43,40.0,40.0
camskattebo,camskattebo,Cam Skattebo,RB,42.51,1,42.51,,41.0
colstonloveland,colstonloveland,Colston Loveland,TE,43.23,2,45.46,41.0,42.0
davanteadams,davanteadams,Davante Adams,WR,44.32,2,46.64,42.0,43.0
tylerwarren,tylerwarren,Tyler Warren,TE,45.09,2,47.17,43.0,44.0
drakemaye,drakemaye,Drake Maye,QB,45.91,2,47.81,44.0,45.0
travisetienne,travisetienne,Travis Etienne Jr.,RB,47.12,2,49.24,45.0,46.0
jaydendaniels,jaydendaniels,Jayden Daniels,QB,49.03,2,52.06,46.0,47.0
laddmcconkey,laddmcconkey,Ladd McConkey,WR,49.84,2,52.67,47.0,48.0
quinshonjudkins,quinshonjudkins,Quinshon Judkins,RB,50.82,2,53.64,48.0,49.0
jalenhurts,jalenhurts,Jalen Hurts,QB,51.75,2,54.5,49.0,50.0
buckyirving,buckyirving,Bucky Irving,RB,52.48,2,54.96,50.0,51.0
teehiggins,teehiggins,Tee Higgins,WR,54.11,2,57.21,51.0,52.0
jaylenwaddle,jaylenwaddle,Jaylen Waddle,WR,55.66,2,59.32,52.0,53.0
joeburrow,joeburrow,Joe Burrow,QB,56.61,2,60.22,53.0,54.0
terrymclaurin,terrymclaurin,Terry McLaurin,WR,57.66,2,61.31,54.0,55.0
kylepitts,kylepitts,Kyle Pitts Sr.,TE,60.52,2,66.04,55.0,56.0
jamesonwilliams,jamesonwilliams,Jameson Williams,WR,61.42,2,66.85,56.0,57.0
samlaporta,samlaporta,Sam LaPorta,TE,62.3,2,67.59,57.0,58.0
carnelltate,carnelltate,Carnell Tate,WR,63.76,2,69.51,58.0,59.0
treveyonhenderson,treveyonhenderson,TreVeyon Henderson,RB,64.44,2,69.89,59.0,60.0
djmoore,djmoore,D.J. Moore,WR,65.47,2,70.94,60.0,61.0
romeodunze,romeodunze,Rome Odunze,WR,66.36,2,71.72,61.0,62.0
dandreswift,dandreswift,D'Andre Swift,RB,67.09,2,72.17,62.0,63.0
davidmontgomery,davidmontgomery,David Montgomery,RB,68.73,2,74.46,63.0,64.0
jaxsondart,jaxsondart,Jaxson Dart,QB,69.45,2,74.9,64.0,65.0
haroldfannin,haroldfannin,Harold Fannin Jr.,TE,70.66,2,76.33,65.0,66.0
lutherburden,lutherburden,Luther Burden III,WR,71.25,2,76.5,66.0,67.0
bhayshultuten,bhayshultuten,Bhayshul Tuten,RB,72.63,2,78.27,67.0,68.0
matthewstafford,matthewstafford,Matthew Stafford,QB,73.31,2,78.61,68.0,69.0
jadarianprice,jadarianprice,Jadarian Price,RB,74.25,2,79.49,69.0,70.0
denverbroncos,denverbroncos,Denver Broncos,DST,76.0,1,,76.0,71.0
brandonaubrey,brandonaubrey,Brandon Aubrey,K,77.6,2,85.21,70.0,72.0
courtlandsutton,courtlandsutton,Courtland Sutton,WR,78.36,2,85.72,71.0,73.0
dkmetcalf,dkmetcalf,D.K. Metcalf,WR,79.8,2,87.6,72.0,74.0
houstontexans,houstontexans,Houston Texans,DST,80.0,1,,80.0,75.0
tonypollard,tonypollard,Tony Pollard,RB,81.13,2,89.27,73.0,76.0
dakprescott,dakprescott,Dak Prescott,QB,81.64,2,88.28,75.0,77.0
mikeevans,mikeevans,Mike Evans,WR,82.02,2,90.04,74.0,78.0
marvinharrisonjr,marvinharrisonjr,Marvin Harrison Jr.,WR,83.88,2,90.75,77.0,79.0
